"Sensor_ID","Year","Month","Day","Mdate","Time","Hourly_Counts"
5,2013,1,"Wednesday",2,3,32
6,2013,1,"Wednesday",2,3,29
14,2013,1,"Wednesday",2,3,14
4,2013,1,"Wednesday",2,4,37
17,2013,1,"Wednesday",2,4,10
18,2013,1,"Wednesday",2,4,1
16,2013,1,"Wednesday",2,4,9
2,2013,1,"Wednesday",2,4,6
1,2013,1,"Wednesday",2,4,8
13,2013,1,"Wednesday",2,4,0
3,2013,1,"Wednesday",2,4,20
9,2013,1,"Wednesday",2,4,3
10,2013,1,"Wednesday",2,4,3
12,2013,1,"Wednesday",2,4,4
11,2013,1,"Wednesday",2,4,0
8,2013,1,"Wednesday",2,4,3
7,2013,1,"Wednesday",2,4,12
5,2013,1,"Wednesday",2,4,41
6,2013,1,"Wednesday",2,4,20
14,2013,1,"Wednesday",2,4,27
4,2013,1,"Wednesday",2,5,71
17,2013,1,"Wednesday",2,5,31
18,2013,1,"Wednesday",2,5,9
16,2013,1,"Wednesday",2,5,19
2,2013,1,"Wednesday",2,5,18
1,2013,1,"Wednesday",2,5,11
13,2013,1,"Wednesday",2,5,34
3,2013,1,"Wednesday",2,5,27
9,2013,1,"Wednesday",2,5,34
10,2013,1,"Wednesday",2,5,4
12,2013,1,"Wednesday",2,5,4
11,2013,1,"Wednesday",2,5,3
8,2013,1,"Wednesday",2,5,9
7,2013,1,"Wednesday",2,5,5
5,2013,1,"Wednesday",2,5,39
6,2013,1,"Wednesday",2,5,72
14,2013,1,"Wednesday",2,5,60
4,2013,1,"Wednesday",2,6,122
17,2013,1,"Wednesday",2,6,113
18,2013,1,"Wednesday",2,6,64
16,2013,1,"Wednesday",2,6,69
2,2013,1,"Wednesday",2,6,57
1,2013,1,"Wednesday",2,6,43
13,2013,1,"Wednesday",2,6,231
3,2013,1,"Wednesday",2,6,105
9,2013,1,"Wednesday",2,6,189
10,2013,1,"Wednesday",2,6,13
12,2013,1,"Wednesday",2,6,21
11,2013,1,"Wednesday",2,6,9
8,2013,1,"Wednesday",2,6,54
7,2013,1,"Wednesday",2,6,60
5,2013,1,"Wednesday",2,6,138
6,2013,1,"Wednesday",2,6,178
14,2013,1,"Wednesday",2,6,88
4,2013,1,"Wednesday",2,7,275
17,2013,1,"Wednesday",2,7,323
18,2013,1,"Wednesday",2,7,270
16,2013,1,"Wednesday",2,7,205
2,2013,1,"Wednesday",2,7,145
1,2013,1,"Wednesday",2,7,156
13,2013,1,"Wednesday",2,7,939
3,2013,1,"Wednesday",2,7,240
9,2013,1,"Wednesday",2,7,589
10,2013,1,"Wednesday",2,7,60
12,2013,1,"Wednesday",2,7,113
11,2013,1,"Wednesday",2,7,28
8,2013,1,"Wednesday",2,7,166
7,2013,1,"Wednesday",2,7,186
5,2013,1,"Wednesday",2,7,325
6,2013,1,"Wednesday",2,7,525
14,2013,1,"Wednesday",2,7,233
4,2013,1,"Wednesday",2,8,557
17,2013,1,"Wednesday",2,8,833
18,2013,1,"Wednesday",2,8,783
16,2013,1,"Wednesday",2,8,481
2,2013,1,"Wednesday",2,8,415
1,2013,1,"Wednesday",2,8,437
13,2013,1,"Wednesday",2,8,2121
3,2013,1,"Wednesday",2,8,438
9,2013,1,"Wednesday",2,8,1222
10,2013,1,"Wednesday",2,8,112
12,2013,1,"Wednesday",2,8,131
11,2013,1,"Wednesday",2,8,37
7,2013,1,"Wednesday",2,8,210
5,2013,1,"Wednesday",2,8,664
6,2013,1,"Wednesday",2,8,1116
14,2013,1,"Wednesday",2,8,513
4,2013,1,"Wednesday",2,9,887
17,2013,1,"Wednesday",2,9,668
18,2013,1,"Wednesday",2,9,397
16,2013,1,"Wednesday",2,9,598
2,2013,1,"Wednesday",2,9,708
1,2013,1,"Wednesday",2,9,774
13,2013,1,"Wednesday",2,9,854
3,2013,1,"Wednesday",2,9,499
9,2013,1,"Wednesday",2,9,587
10,2013,1,"Wednesday",2,9,84
12,2013,1,"Wednesday",2,9,107
11,2013,1,"Wednesday",2,9,31
8,2013,1,"Wednesday",2,9,157
7,2013,1,"Wednesday",2,9,142
5,2013,1,"Wednesday",2,9,521
6,2013,1,"Wednesday",2,9,757
14,2013,1,"Wednesday",2,9,265
4,2013,1,"Wednesday",2,10,1704
17,2013,1,"Wednesday",2,10,398
18,2013,1,"Wednesday",2,10,225
16,2013,1,"Wednesday",2,10,1008
2,2013,1,"Wednesday",2,10,1512
1,2013,1,"Wednesday",2,10,1302
13,2013,1,"Wednesday",2,10,425
3,2013,1,"Wednesday",2,10,916
9,2013,1,"Wednesday",2,10,239
10,2013,1,"Wednesday",2,10,86
12,2013,1,"Wednesday",2,10,166
11,2013,1,"Wednesday",2,10,87
8,2013,1,"Wednesday",2,10,130
7,2013,1,"Wednesday",2,10,147
5,2013,1,"Wednesday",2,10,885
6,2013,1,"Wednesday",2,10,900
14,2013,1,"Wednesday",2,10,322
4,2013,1,"Wednesday",2,11,2594
17,2013,1,"Wednesday",2,11,466
18,2013,1,"Wednesday",2,11,254
16,2013,1,"Wednesday",2,11,1594
2,2013,1,"Wednesday",2,11,2479
1,2013,1,"Wednesday",2,11,2157
13,2013,1,"Wednesday",2,11,401
3,2013,1,"Wednesday",2,11,685
9,2013,1,"Wednesday",2,11,249
10,2013,1,"Wednesday",2,11,83
12,2013,1,"Wednesday",2,11,304
11,2013,1,"Wednesday",2,11,174
8,2013,1,"Wednesday",2,11,188
7,2013,1,"Wednesday",2,11,254
5,2013,1,"Wednesday",2,11,1550
6,2013,1,"Wednesday",2,11,1185
14,2013,1,"Wednesday",2,11,530
4,2013,1,"Wednesday",2,12,3423
17,2013,1,"Wednesday",2,12,1167
18,2013,1,"Wednesday",2,12,400
16,2013,1,"Wednesday",2,12,2382
2,2013,1,"Wednesday",2,12,3904
1,2013,1,"Wednesday",2,12,3377
13,2013,1,"Wednesday",2,12,611
3,2013,1,"Wednesday",2,12,1620
9,2013,1,"Wednesday",2,12,651
10,2013,1,"Wednesday",2,12,194
12,2013,1,"Wednesday",2,12,531
11,2013,1,"Wednesday",2,12,262
8,2013,1,"Wednesday",2,12,495
7,2013,1,"Wednesday",2,12,407
5,2013,1,"Wednesday",2,12,2104
6,2013,1,"Wednesday",2,12,1813
14,2013,1,"Wednesday",2,12,651
4,2013,1,"Wednesday",2,13,3763
17,2013,1,"Wednesday",2,13,1072
18,2013,1,"Wednesday",2,13,349
16,2013,1,"Wednesday",2,13,2391
2,2013,1,"Wednesday",2,13,4379
1,2013,1,"Wednesday",2,13,3489
13,2013,1,"Wednesday",2,13,599
3,2013,1,"Wednesday",2,13,2497
9,2013,1,"Wednesday",2,13,596
10,2013,1,"Wednesday",2,13,118
12,2013,1,"Wednesday",2,13,575
11,2013,1,"Wednesday",2,13,315
8,2013,1,"Wednesday",2,13,461
7,2013,1,"Wednesday",2,13,354
5,2013,1,"Wednesday",2,13,1944
6,2013,1,"Wednesday",2,13,2068
14,2013,1,"Wednesday",2,13,616
4,2013,1,"Wednesday",2,14,3583
17,2013,1,"Wednesday",2,14,558
18,2013,1,"Wednesday",2,14,268
16,2013,1,"Wednesday",2,14,2001
2,2013,1,"Wednesday",2,14,3789
1,2013,1,"Wednesday",2,14,3128
13,2013,1,"Wednesday",2,14,439
3,2013,1,"Wednesday",2,14,2580
9,2013,1,"Wednesday",2,14,285
10,2013,1,"Wednesday",2,14,118
12,2013,1,"Wednesday",2,14,452
11,2013,1,"Wednesday",2,14,238
8,2013,1,"Wednesday",2,14,285
7,2013,1,"Wednesday",2,14,408
5,2013,1,"Wednesday",2,14,1853
6,2013,1,"Wednesday",2,14,1652
14,2013,1,"Wednesday",2,14,674
4,2013,1,"Wednesday",2,15,3596
17,2013,1,"Wednesday",2,15,498
18,2013,1,"Wednesday",2,15,322
16,2013,1,"Wednesday",2,15,1847
2,2013,1,"Wednesday",2,15,3793
1,2013,1,"Wednesday",2,15,3282
13,2013,1,"Wednesday",2,15,535
3,2013,1,"Wednesday",2,15,2421
9,2013,1,"Wednesday",2,15,386
10,2013,1,"Wednesday",2,15,104
12,2013,1,"Wednesday",2,15,509
11,2013,1,"Wednesday",2,15,303
8,2013,1,"Wednesday",2,15,260
7,2013,1,"Wednesday",2,15,341
5,2013,1,"Wednesday",2,15,2335
6,2013,1,"Wednesday",2,15,1645
14,2013,1,"Wednesday",2,15,671
4,2013,1,"Wednesday",2,16,3474
17,2013,1,"Wednesday",2,16,540
18,2013,1,"Wednesday",2,16,568
16,2013,1,"Wednesday",2,16,1605
2,2013,1,"Wednesday",2,16,3374
1,2013,1,"Wednesday",2,16,2952
